date,channel,spend
2023-01-01,Affiliate,76.91
2023-01-01,Email,110.47
2023-01-01,Paid Search,287.77
2023-01-01,Paid Social,259.51
2023-01-02,Affiliate,65.89
2023-01-02,Email,104.88
2023-01-02,Paid Search,300.13
2023-01-02,Paid Social,217.01
2023-01-03,Affiliate,73.04
2023-01-03,Email,95.62
2023-01-03,Paid Search,318.0
2023-01-03,Paid Social,250.5
2023-01-04,Affiliate,73.52
2023-01-04,Email,117.23
2023-01-04,Paid Search,323.09
2023-01-04,Paid Social,227.0
2023-01-05,Affiliate,60.98
2023-01-05,Email,97.55
2023-01-05,Paid Search,253.01
2023-01-05,Paid Social,237.14
2023-01-06,Affiliate,70.95
2023-01-06,Email,96.54
2023-01-06,Paid Search,279.5
2023-01-06,Paid Social,252.99
2023-01-07,Affiliate,80.18
2023-01-07,Email,106.44
2023-01-07,Paid Search,336.6
2023-01-07,Paid Social,264.07
2023-01-08,Affiliate,75.32
2023-01-08,Email,110.33
2023-01-08,Paid Search,342.72
2023-01-08,Paid Social,249.45
2023-01-09,Affiliate,63.46
2023-01-09,Email,97.2
2023-01-09,Paid Search,280.8
2023-01-09,Paid Social,229.96
2023-01-10,Affiliate,64.79
2023-01-10,Email,107.88
2023-01-10,Paid Search,289.1
2023-01-10,Paid Social,253.63
2023-01-11,Affiliate,68.25
2023-01-11,Email,88.57
2023-01-11,Paid Search,289.68
2023-01-11,Paid Social,221.98
2023-01-12,Affiliate,66.67
2023-01-12,Email,94.88
2023-01-12,Paid Search,279.03
2023-01-12,Paid Social,201.32
2023-01-13,Affiliate,65.55
2023-01-13,Email,101.25
2023-01-13,Paid Search,332.1
2023-01-13,Paid Social,237.35
2023-01-14,Affiliate,59.79
2023-01-14,Email,75.32
2023-01-14,Paid Search,280.52
2023-01-14,Paid Social,197.2
2023-01-15,Affiliate,53.08
2023-01-15,Email,94.47
2023-01-15,Paid Search,254.7
2023-01-15,Paid Social,197.36
2023-01-16,Affiliate,71.81
2023-01-16,Email,92.57
2023-01-16,Paid Search,286.68
2023-01-16,Paid Social,226.78
2023-01-17,Affiliate,69.51
2023-01-17,Email,94.06
2023-01-17,Paid Search,265.27
2023-01-17,Paid Social,232.45
2023-01-18,Affiliate,67.41
2023-01-18,Email,89.81
2023-01-18,Paid Search,284.57
2023-01-18,Paid Social,225.29
2023-01-19,Affiliate,59.6
2023-01-19,Email,85.62
2023-01-19,Paid Search,236.51
2023-01-19,Paid Social,201.94
2023-01-20,Affiliate,58.49
2023-01-20,Email,90.26
2023-01-20,Paid Search,282.81
2023-01-20,Paid Social,241.26
2023-01-21,Affiliate,81.45
2023-01-21,Email,114.59
2023-01-21,Paid Search,351.91
2023-01-21,Paid Social,260.08
2023-01-22,Affiliate,66.58
2023-01-22,Email,103.55
2023-01-22,Paid Search,294.06
2023-01-22,Paid Social,239.62
2023-01-23,Affiliate,83.42
2023-01-23,Email,101.44
2023-01-23,Paid Search,301.81
2023-01-23,Paid Social,241.16
2023-01-24,Affiliate,60.55
2023-01-24,Email,90.54
2023-01-24,Paid Search,283.88
2023-01-24,Paid Social,224.84
2023-01-25,Affiliate,64.1
2023-01-25,Email,96.38
2023-01-25,Paid Search,253.61
2023-01-25,Paid Social,223.05
2023-01-26,Affiliate,63.34
2023-01-26,Email,93.09
2023-01-26,Paid Search,236.95
2023-01-26,Paid Social,235.07
2023-01-27,Affiliate,62.64
2023-01-27,Email,103.47
2023-01-27,Paid Search,266.25
2023-01-27,Paid Social,223.8
2023-01-28,Affiliate,74.83
2023-01-28,Email,113.04
2023-01-28,Paid Search,322.5
2023-01-28,Paid Social,247.78
2023-01-29,Affiliate,64.79
2023-01-29,Email,99.89
2023-01-29,Paid Search,276.35
2023-01-29,Paid Social,224.13
2023-01-30,Affiliate,73.07
2023-01-30,Email,101.05
2023-01-30,Paid Search,297.08
2023-01-30,Paid Social,241.27
2023-01-31,Affiliate,69.08
2023-01-31,Email,91.28
2023-01-31,Paid Search,284.73
2023-01-31,Paid Social,228.29
2023-02-01,Affiliate,78.09
2023-02-01,Email,97.17
2023-02-01,Paid Search,266.64
2023-02-01,Paid Social,244.85
2023-02-02,Affiliate,55.48
2023-02-02,Email,76.83
2023-02-02,Paid Search,249.55
2023-02-02,Paid Social,204.84
2023-02-03,Affiliate,54.39
2023-02-03,Email,77.15
2023-02-03,Paid Search,244.69
2023-02-03,Paid Social,208.13
2023-02-04,Affiliate,69.45
2023-02-04,Email,89.52
2023-02-04,Paid Search,280.48
2023-02-04,Paid Social,234.39
2023-02-05,Affiliate,70.02
2023-02-05,Email,80.74
2023-02-05,Paid Search,233.74
2023-02-05,Paid Social,194.76
2023-02-06,Affiliate,74.15
2023-02-06,Email,93.24
2023-02-06,Paid Search,281.35
2023-02-06,Paid Social,222.25
2023-02-07,Affiliate,52.84
2023-02-07,Email,72.77
2023-02-07,Paid Search,221.29
2023-02-07,Paid Social,203.48
2023-02-08,Affiliate,55.98
2023-02-08,Email,76.86
2023-02-08,Paid Search,217.26
2023-02-08,Paid Social,172.49
2023-02-09,Affiliate,60.04
2023-02-09,Email,87.58
2023-02-09,Paid Search,228.81
2023-02-09,Paid Social,215.49
2023-02-10,Affiliate,62.68
2023-02-10,Email,102.36
2023-02-10,Paid Search,277.1
2023-02-10,Paid Social,242.59
2023-02-11,Affiliate,65.05
2023-02-11,Email,88.55
2023-02-11,Paid Search,261.25
2023-02-11,Paid Social,203.85
2023-02-12,Affiliate,62.11
2023-02-12,Email,90.09
2023-02-12,Paid Search,294.25
2023-02-12,Paid Social,236.2
2023-02-13,Affiliate,59.02
2023-02-13,Email,88.23
2023-02-13,Paid Search,249.93
2023-02-13,Paid Social,237.67
2023-02-14,Affiliate,54.21
2023-02-14,Email,72.66
2023-02-14,Paid Search,260.15
2023-02-14,Paid Social,202.43
2023-02-15,Affiliate,53.34
2023-02-15,Email,80.68
2023-02-15,Paid Search,251.56
