order_id,order_date,customer_id,channel,order_net_revenue,items_count,units
32848,2024-05-20,1,Email,240.53,3,3
36888,2024-10-07,1,Affiliate,290.46,1,3
1,2025-06-11,1,Paid Social,231.21,2,3
24230,2024-04-26,2,Paid Social,22.59,2,2
35750,2024-09-01,2,Email,83.92,1,3
2,2025-04-12,2,Paid Search,33.48,1,1
25580,2024-03-28,3,Paid Social,374.39,3,2
27730,2024-10-28,3,Organic,147.43,2,3
3,2025-03-15,3,Paid Social,81.23,3,4
47770,2023-10-17,4,Paid Social,126.34,1,2
35501,2024-08-07,4,Paid Social,314.25,3,3
23460,2024-11-18,4,Paid Social,137.11,1,4
28650,2024-11-25,4,Organic,205.46,3,2
21376,2024-12-18,4,Paid Search,130.36,2,1
22309,2024-12-24,4,Paid Search,127.39,3,2
4,2025-04-08,4,Organic,14.39,1,2
5,2025-02-03,5,Email,89.27,1,1
6,2025-11-02,6,Organic,114.94,2,3
7,2025-12-28,6,Email,31.25,1,2
8,2025-08-17,7,Paid Social,34.23,2,2
28921,2024-03-04,8,Paid Search,12.44,3,4
22694,2024-10-07,8,Organic,26.67,3,3
34461,2024-12-19,8,Email,102.54,2,2
22034,2024-12-26,8,Affiliate,127.0,1,1
22373,2024-12-28,8,Affiliate,66.9,1,2
36462,2024-12-28,8,Email,14.12,1,2
9,2025-02-15,8,Email,91.51,1,2
36805,2024-07-22,9,Organic,522.38,1,2
10,2025-07-09,9,Paid Search,111.43,3,4
11,2025-10-04,10,Affiliate,119.92,2,2
12,2025-08-07,11,Email,460.12,2,3
13,2025-11-16,12,Email,264.39,3,4
14,2025-12-17,12,Email,98.7,1,1
47941,2023-03-08,13,Paid Social,131.38,2,2
49803,2023-10-13,13,Paid Social,299.06,1,2
46966,2023-11-20,13,Organic,193.1,1,4
46902,2023-11-27,13,Organic,93.06,1,4
43244,2023-11-28,13,Organic,77.89,3,3
47538,2023-12-05,13,Paid Search,172.89,1,2
38569,2023-12-14,13,Paid Social,360.22,3,2
20268,2024-03-17,13,Paid Social,113.9,1,3
15,2025-05-24,13,Email,156.05,3,3
38234,2023-11-26,14,Email,505.75,2,2
40938,2023-12-28,14,Paid Search,93.37,3,2
16,2025-10-04,14,Paid Search,154.1,2,2
17,2025-12-20,14,Affiliate,221.79,3,4
18,2025-04-04,15,Paid Search,161.91,2,2
19,2025-08-11,15,Email,24.61,1,1
43504,2023-01-22,16,Email,102.88,1,3
42885,2023-07-03,16,Email,53.78,1,2
43760,2023-10-17,16,Paid Search,188.95,1,1
47727,2023-11-27,16,Organic,16.91,2,3
40324,2023-12-20,16,Paid Social,74.12,3,2
26309,2024-06-20,16,Paid Social,31.52,1,3
20,2025-11-03,16,Paid Social,127.81,2,3
21,2025-01-08,17,Paid Search,183.28,3,3
22,2025-08-15,18,Paid Social,66.5,1,1
23,2025-06-13,19,Paid Search,190.66,2,3
41439,2023-12-08,20,Paid Social,220.23,1,2
34178,2024-08-20,20,Paid Search,445.35,2,2
24,2025-12-27,20,Organic,296.19,2,2
25,2025-12-28,20,Organic,185.33,2,2
26353,2024-03-03,21,Organic,61.96,2,2
26,2025-03-08,21,Paid Social,71.98,2,2
27,2025-04-05,21,Paid Social,112.44,2,2
28,2025-09-12,21,Paid Search,18.94,1,1
36981,2024-10-04,22,Affiliate,59.54,1,3
29033,2024-12-26,22,Organic,82.86,1,3
27465,2024-12-28,22,Email,277.68,1,3
29,2025-11-12,22,Paid Social,46.78,2,3
30,2025-12-05,23,Organic,112.95,2,3
34657,2024-05-29,24,Organic,92.59,3,3
22013,2024-09-15,24,Paid Search,233.81,2,3
35307,2024-11-19,24,Affiliate,196.52,3,3
31,2025-11-21,24,Organic,158.53,2,2
32,2025-04-16,25,Paid Search,229.22,3,3
33,2025-05-24,26,Organic,14.81,1,1
40654,2023-02-17,27,Paid Social,277.06,3,1
46274,2023-10-26,27,Paid Search,22.44,3,3
37940,2023-11-08,27,Email,281.84,1,4
39905,2023-12-05,27,Paid Social,88.47,3,1
42909,2023-12-10,27,Paid Social,101.6,2,1
45596,2023-12-24,27,Affiliate,50.7,1,2
46749,2023-12-26,27,Organic,218.2,2,3
34,2025-08-26,27,Affiliate,260.63,3,3
35,2025-11-17,28,Email,103.89,2,3
36,2025-10-26,29,Paid Search,107.9,1,2
22352,2024-06-26,30,Paid Search,136.54,1,3
31352,2024-11-01,30,Paid Social,118.23,3,4
37,2025-06-26,30,Email,135.68,3,3
38,2025-06-27,30,Paid Search,366.8,2,2
39,2025-07-21,30,Paid Search,29.79,1,2
40,2025-10-24,31,Paid Search,534.65,3,4
41,2025-01-21,32,Paid Social,17.74,1,2
42,2025-09-25,32,Email,91.65,1,1
21833,2024-10-30,33,Paid Search,352.45,2,1
24318,2024-11-26,33,Paid Social,116.0,1,4
43,2025-11-11,33,Email,61.66,1,1
44,2025-12-10,34,Paid Social,125.86,3,4
33657,2024-12-18,35,Email,108.5,2,2
45,2025-08-08,35,Paid Social,190.72,2,3
46,2025-10-11,36,Paid Search,221.16,2,3
47,2025-03-05,37,Affiliate,269.18,3,4
40920,2023-10-09,38,Organic,102.88,1,2
48,2025-06-16,38,Paid Search,220.49,3,4
49,2025-10-28,38,Paid Search,348.92,1,1
50,2025-12-26,38,Affiliate,101.24,1,2
51,2025-01-26,39,Paid Search,71.14,2,3
33985,2024-11-29,40,Paid Search,128.59,1,3
52,2025-09-25,40,Paid Search,204.46,3,3
53,2025-07-19,41,Affiliate,107.82,2,3
54,2025-05-14,42,Paid Search,132.8,2,2
55,2025-12-10,43,Paid Search,225.76,2,2
28872,2024-12-24,44,Organic,184.66,2,2
56,2025-11-25,44,Paid Social,129.45,3,3
41677,2023-02-08,45,Organic,135.45,1,2
42881,2023-09-03,45,Organic,14.0,1,2
49621,2023-11-22,45,Paid Search,280.75,1,2
42253,2023-12-28,45,Affiliate,135.82,1,2
57,2025-12-05,45,Paid Search,193.44,2,2
58,2025-12-21,45,Email,180.65,1,1
59,2025-12-23,45,Organic,13.76,1,1
39789,2023-01-01,46,Organic,246.28,3,3
47440,2023-11-18,46,Email,266.03,1,4
39706,2023-11-24,46,Email,108.25,3,4
37837,2023-12-01,46,Organic,234.1,2,2
38097,2023-12-06,46,Paid Social,108.1,3,2
35551,2024-08-14,46,Paid Social,17.09,1,1
26098,2024-12-08,46,Email,279.25,1,2
60,2025-11-22,46,Paid Social,86.57,1,2
61,2025-11-28,46,Paid Search,101.54,2,2
62,2025-12-15,46,Paid Search,136.09,2,2
47157,2023-07-07,47,Affiliate,23.86,1,3
49969,2023-11-17,47,Paid Search,205.39,3,3
63,2025-11-13,47,Email,187.98,1,2
64,2025-12-02,48,Paid Search,199.58,2,2
65,2025-02-02,49,Paid Search,277.99,3,4
48156,2023-03-23,50,Paid Search,95.26,1,3
47634,2023-12-23,50,Affiliate,189.84,2,2
48792,2023-12-26,50,Paid Search,26.6,2,3
46718,2023-12-27,50,Paid Search,215.38,1,2
43744,2023-12-28,50,Organic,188.42,1,2
40445,2023-12-28,50,Paid Social,201.15,3,3
28570,2024-08-26,50,Paid Search,185.28,1,3
24033,2024-11-14,50,Paid Social,48.23,3,2
21708,2024-11-28,50,Paid Search,334.7,2,4
28358,2024-12-18,50,Paid Social,102.83,2,3
66,2025-12-05,50,Paid Search,206.55,1,1
40517,2023-12-24,51,Paid Social,108.24,2,2
67,2025-11-12,51,Organic,26.51,1,1
68,2025-08-10,52,Email,219.21,3,3
69,2025-11-17,53,Paid Search,33.35,2,2
70,2025-05-12,54,Paid Search,270.78,3,3
71,2025-10-10,55,Email,357.66,1,1
72,2025-11-24,55,Paid Search,96.26,2,3
41744,2023-01-18,56,Paid Social,93.92,2,1
45873,2023-08-26,56,Paid Social,148.84,1,2
21072,2024-02-05,56,Paid Search,197.2,1,4
21510,2024-10-17,56,Email,309.9,2,4
35518,2024-12-11,56,Paid Search,96.98,3,2
33556,2024-12-21,56,Organic,192.32,3,2
35461,2024-12-25,56,Paid Search,154.83,3,2
73,2025-11-24,56,Paid Social,103.67,2,2
29310,2024-02-10,57,Paid Search,94.58,3,3
28334,2024-09-28,57,Affiliate,124.32,2,3
25222,2024-11-08,57,Paid Search,126.6,1,3
36558,2024-12-03,57,Affiliate,107.67,1,2
74,2025-01-19,57,Paid Social,92.52,1,1
44710,2023-01-12,58,Affiliate,227.02,1,2
49534,2023-05-25,58,Paid Social,122.47,2,2
41104,2023-06-06,58,Organic,182.93,3,2
47402,2023-06-21,58,Paid Search,170.97,1,1
39556,2023-12-19,58,Paid Social,53.41,1,3
40296,2023-12-23,58,Affiliate,173.73,3,2
46979,2023-12-27,58,Affiliate,88.05,2,3
75,2025-08-02,58,Paid Social,86.78,1,2
44495,2023-11-24,59,Paid Social,102.96,2,3
41788,2023-12-23,59,Affiliate,94.11,2,2
29432,2024-10-21,59,Paid Search,212.52,1,4
76,2025-08-22,59,Paid Search,205.4,3,4
77,2025-12-09,59,Email,338.15,2,3
78,2025-10-17,60,Paid Search,85.15,1,2
79,2025-12-08,60,Paid Social,76.92,1,2
